Unnamed: 0,Original Title Text,Title Sentence Vector,Original Description Text,Description Sentence Vector,Original Author Text,Author Sentence Vector,Cluster
50,‘I’ve seen it all.’ Coby White focuses on consistency amid Zach LaVine trade rumors and Chicago Bulls roster turmoil.,-0.0548672254080884,Coby White is familiar with Zach LaVine trade rumors and Chicago Bulls roster turmoil — but he doesn't want either to affect this season on the court.,0.053785269788932,Julia Poe,0.0250901574418094,3
51,Afternoon Briefing: Investigation underway after man and 6-year-old boy found deceased,-0.0702690263751719,"Good afternoon, Chicago. Here's what is happening today.",0.0795632164517883,Chicago Tribune staff,0.0172900576726533,4
52,Daryl Hall gets restraining order against John Oates in Hall & Oates legal battle,-0.0287376665510237,Hall & Oates are embroiled in a confidential legal battle that has led to Daryl Hall getting a restraining order against his former music partner John Oates.,0.06503238203004,Ethan Shanfeld,0.0429385302122682,3
53,Aaron Rodgers still aiming to return to New York Jets practice around his 40th birthday next month,-0.0383913650875911,Aaron Rodgers hopes to celebrate his 40th birthday by returning to practice with the New York Jets.,0.1436484815785661,Dennis Waszak Jr.,0.0223875083320308,4
54,"Editorial: At Berlin, a historic nightclub and progressive icon, the end comes at the hands of self-described progressives",0.0041515527991577,"Chicago's Berlin was a cool, progressive nightclub dedicated to tolerance. It was destroyed by radical over-reach.",0.0275110119691817,The Editorial Board,0.0379185035999398,3
55,AVP to launch new professional league next year,-0.0568542813125532,"The new league, which will feature eight teams nationwide, will become AVP’s new premier beach volleyball competition, with the traditional AVP Pro Series being renamed the AVP Heritage Series.",0.0863207939728454,Michael Hixon,0.1438233202502488,0
56,Terry Savage: Holiday season is for giving to those in need,-0.0481996738199086,"It’s easy to overlook the plight of so many Americans just hoping to keep the heat on and a roof over their heads, not only in the holiday season but year-round.",0.130837849661475,Terry Savage,-0.0442593597399536,4
57,"Tech, Media & Telecom Roundup: Market Talk",-0.0204734060680493,,0.0207857869099825,,0.0125847910530865,1
58,Illinois Ford dealers win ruling against automaker’s EV certification program requiring pricey fast chargers,-0.1250924775376916,"The Illinois Motor Vehicle Review Board ruled in favor of the dealers in their complaint against Ford, which alleged the program violated state law by cutting off EV products to those that didn’t pay up to participate.",0.0363102801929926,Robert Channick,0.1103288530139252,0
59,FAA approves Boeing to start 737 MAX 10 certification flight tests,-0.0745574626489542,"Boeing <a href=""https://www.reuters.com/markets/companies/BA.N"" target=""_blank"">(BA.N)</a> said on Wednesday that the U.S. aviation regulator has cleared it to begin certification flight testing of its 737 MAX 10, the largest version of its bestselling jet ai…",0.0789577926771016,Valerie Insinna,0.0219351900886977,4
60,Where can you shop on Black Friday? Here’s what’s open — and when,-0.0467578461393713,"A number of stores that close on Thanksgiving, including Walmart and Target, reopen early Friday as the holiday shopping season begins in earnest.",0.0885165468498598,Francisco Guzman,0.0263307157874805,4
61,Black Friday is almost here. What to know about the holiday sales event’s history and evolution,-0.0645781113144039,"While Black Friday may no longer look like the crowd-filled, in-person mayhem that it was just decades ago the holiday sales event is still slated to attract millions of consumers.",0.124032475752756,Wyatte Grantham-Philips,0.0411394085967913,4
62,OpenAI brings back Sam Altman as CEO just days after his firing unleashed chaos,-0.0589463811302266,"The ousted leader of ChatGPT maker OpenAI is returning to the company that fired him just days ago, culminating a short but chaotic power struggle that shocked the tech industry and underscored the conflicts around how to safely build artificial intelligence.",0.038347158828401,Matt O'Brien,0.1071372963488102,0
